iter	Passed	Remaining
0	134	134298
1	135	67700
2	136	45416
3	137	34352
4	139	27713
5	140	23234
6	141	20023
7	142	17624
8	143	15751
9	143	14252
10	145	13041
11	146	12033
12	147	11173
13	148	10430
14	149	9786
15	149	9216
16	150	8712
17	151	8271
18	152	7883
19	153	7530
20	154	7213
21	155	6926
22	156	6661
23	157	6418
24	158	6194
25	159	5989
26	160	5798
27	161	5620
28	162	5453
29	163	5294
30	164	5150
31	165	5017
32	166	4892
33	167	4770
34	169	4661
35	170	4553
36	170	4449
37	172	4354
38	173	4263
39	173	4174
40	174	4092
41	175	4010
42	176	3934
43	177	3861
44	178	3789
45	179	3722
46	180	3659
47	181	3605
48	182	3546
49	183	3488
50	184	3432
51	185	3379
52	186	3328
53	187	3279
54	188	3230
55	189	3187
56	190	3143
57	190	3100
58	191	3059
59	192	3019
60	193	2981
61	194	2942
62	195	2910
63	196	2880
64	197	2845
65	198	2813
66	199	2781
67	200	2749
68	201	2718
69	202	2688
70	203	2658
71	204	2632
72	205	2604
73	206	2577
74	206	2551
75	207	2527
76	208	2502
77	209	2478
78	210	2458
79	211	2437
80	212	2415
81	213	2393
82	214	2368
83	215	2347
84	216	2327
85	217	2307
86	218	2288
87	219	2270
88	220	2252
89	220	2233
90	221	2216
91	222	2197
92	223	2180
93	224	2163
94	225	2148
95	226	2133
96	227	2117
97	228	2101
98	229	2085
99	230	2070
100	231	2056
101	232	2042
102	232	2028
103	233	2014
104	234	2000
105	235	1986
106	236	1974
107	237	1962
108	238	1950
109	240	1941
110	241	1930
111	242	1918
112	242	1906
113	243	1894
114	244	1882
115	245	1870
116	246	1858
117	247	1847
118	248	1836
119	248	1825
120	249	1814
121	250	1802
122	251	1792
123	252	1782
124	253	1772
125	254	1763
126	255	1753
127	256	1746
128	257	1736
129	258	1728
130	259	1721
131	260	1713
132	261	1704
133	262	1694
134	263	1685
135	263	1677
136	264	1668
137	265	1660
138	266	1652
139	267	1643
140	268	1635
141	269	1627
142	270	1621
143	271	1614
144	272	1606
145	273	1598
146	274	1591
147	275	1583
148	276	1576
149	277	1569
150	277	1562
151	278	1555
152	279	1549
153	280	1542
154	281	1535
155	282	1529
156	283	1523
157	284	1518
158	286	1514
159	287	1508
160	287	1500
161	288	1493
162	289	1487
163	290	1480
164	292	1478
165	293	1473
166	294	1467
167	295	1461
168	295	1455
169	296	1449
170	297	1443
171	299	1441
172	300	1437
173	301	1431
174	302	1426
175	303	1420
176	304	1415
177	305	1409
178	306	1404
179	307	1398
180	307	1393
181	308	1387
182	309	1382
183	310	1376
184	311	1371
185	312	1366
186	313	1361
187	314	1357
188	315	1353
189	316	1351
190	317	1346
191	318	1341
192	319	1337
193	320	1332
194	321	1328
195	322	1323
196	323	1319
197	324	1315
198	325	1310
199	326	1305
200	327	1300
201	328	1296
202	329	1292
203	330	1288
204	331	1284
205	332	1280
206	333	1275
207	333	1271
208	334	1267
209	335	1263
210	336	1259
211	337	1255
212	338	1251
213	339	1247
214	340	1244
215	341	1240
216	342	1236
217	343	1232
218	344	1229
219	345	1226
220	346	1222
221	347	1218
222	348	1213
223	349	1210
224	350	1206
225	351	1202
226	352	1198
227	352	1194
228	353	1190
229	354	1186
230	355	1183
231	356	1179
232	357	1176
233	358	1172
234	359	1170
235	360	1167
236	361	1163
237	362	1160
238	363	1156
239	364	1153
240	364	1149
241	365	1145
242	366	1142
243	367	1138
244	368	1135
245	369	1132
246	370	1129
247	371	1125
248	372	1122
249	373	1119
250	374	1116
251	375	1113
252	376	1110
253	377	1107
254	378	1104
255	379	1101
256	379	1098
257	380	1095
258	381	1092
259	382	1088
260	383	1086
261	384	1083
262	385	1080
263	386	1077
264	387	1074
265	388	1071
266	389	1068
267	390	1066
268	391	1064
269	392	1061
270	393	1058
271	394	1054
272	395	1052
273	396	1049
274	397	1046
275	398	1044
276	399	1042
277	400	1039
278	401	1036
279	402	1034
280	403	1031
281	404	1029
282	405	1027
283	406	1025
284	407	1022
285	408	1020
286	409	1017
287	410	1015
288	411	1012
289	412	1010
290	413	1007
291	414	1004
292	415	1002
293	416	1000
294	417	997
295	418	996
296	419	993
297	420	991
298	421	989
299	422	986
300	423	984
301	424	982
302	425	979
303	426	977
304	427	974
305	428	972
306	429	969
307	430	967
308	431	965
309	432	962
310	433	960
311	434	958
312	435	956
313	436	954
314	437	952
315	438	950
316	439	947
317	440	945
318	441	943
319	442	940
320	443	938
321	444	936
322	445	933
323	446	931
324	447	929
325	448	927
326	449	925
327	450	923
328	451	921
329	452	919
330	453	916
331	454	914
332	455	912
333	456	910
334	457	907
335	458	905
336	459	903
337	460	902
338	461	900
339	462	898
340	464	897
341	465	895
342	466	893
343	467	891
344	468	889
345	469	887
346	470	886
347	471	883
348	472	881
349	473	879
350	474	877
351	475	876
352	476	874
353	478	872
354	479	870
355	480	868
356	481	867
357	482	865
358	483	863
359	484	861
360	485	860
361	487	858
362	488	856
363	489	855
364	490	853
365	491	851
366	492	849
367	493	847
368	494	845
369	495	844
370	496	842
371	497	840
372	498	838
373	499	836
374	500	834
375	501	832
376	502	830
377	503	828
378	504	826
379	505	824
380	506	822
381	507	821
382	508	819
383	509	817
384	510	815
385	511	814
386	512	812
387	513	810
388	514	808
389	515	806
390	516	804
391	517	802
392	518	800
393	519	799
394	520	797
395	521	795
396	522	794
397	524	792
398	525	790
399	526	789
400	527	787
401	528	786
402	529	784
403	530	782
404	531	780
405	532	778
406	533	777
407	534	775
408	535	773
409	536	771
410	537	770
411	538	768
412	539	767
413	540	765
414	541	763
415	543	762
416	544	760
417	545	758
418	545	757
419	546	755
420	547	753
421	548	751
422	549	750
423	551	748
424	552	747
425	553	745
426	554	743
427	555	742
428	556	740
429	557	739
430	558	737
431	559	735
432	560	733
433	561	732
434	562	730
435	563	728
436	563	726
437	564	724
438	565	723
439	566	721
440	567	719
441	568	718
442	569	716
443	570	714
444	571	713
445	572	711
446	573	709
447	574	707
448	575	705
449	576	704
450	576	702
451	577	700
452	578	698
453	579	697
454	580	695
455	581	694
456	583	692
457	584	691
458	585	689
459	586	688
460	587	686
461	588	684
462	588	683
463	589	681
464	590	679
465	591	677
466	592	676
467	593	674
468	594	672
469	595	671
470	596	669
471	597	668
472	598	666
473	599	665
474	600	663
475	601	661
476	602	660
477	603	658
478	603	656
479	604	655
480	605	653
481	606	651
482	607	650
483	608	648
484	609	646
485	610	645
486	611	644
487	612	642
488	613	641
489	615	640
490	615	638
491	616	636
492	618	635
493	619	634
494	620	632
495	620	630
496	621	629
497	622	627
498	623	626
499	624	624
500	625	622
501	626	621
502	627	620
503	628	618
504	629	617
505	630	615
506	631	614
507	632	612
508	633	611
509	634	609
510	635	608
511	636	606
512	637	605
513	638	603
514	639	602
515	640	601
516	641	599
517	643	598
518	643	596
519	644	595
520	646	593
521	647	592
522	647	591
523	648	589
524	649	588
525	650	586
526	651	585
527	652	583
528	653	582
529	654	580
530	656	579
531	657	578
532	657	576
533	658	575
534	659	573
535	660	572
536	661	570
537	662	569
538	663	567
539	664	566
540	665	564
541	666	563
542	667	562
543	669	560
544	669	559
545	671	558
546	671	556
547	672	555
548	673	553
549	674	552
550	675	550
551	676	549
552	677	547
553	678	546
554	679	545
555	680	543
556	681	542
557	682	540
558	683	539
559	684	537
560	685	536
561	686	534
562	687	533
563	688	532
564	689	530
565	690	529
566	691	527
567	692	526
568	693	524
569	694	523
570	694	522
571	695	520
572	696	519
573	697	518
574	699	516
575	700	515
576	701	514
577	702	512
578	703	511
579	704	509
580	705	508
581	706	507
582	707	505
583	708	504
584	708	502
585	709	501
586	710	499
587	711	498
588	712	497
589	713	495
590	714	494
591	715	493
592	716	491
593	717	490
594	718	489
595	719	487
596	720	486
597	721	485
598	722	483
599	723	482
600	724	481
601	725	479
602	726	478
603	727	476
604	728	475
605	729	474
606	730	472
607	731	471
608	732	470
609	733	468
610	734	467
611	735	466
612	736	464
613	737	463
614	738	462
615	739	460
616	740	459
617	740	457
618	741	456
619	742	455
620	743	453
621	744	452
622	745	451
623	747	450
624	747	448
625	748	447
626	749	446
627	750	444
628	751	443
629	752	441
630	753	440
631	754	439
632	755	438
633	756	436
634	757	435
635	758	434
636	759	432
637	760	431
638	761	430
639	762	428
640	763	427
641	764	426
642	765	424
643	766	423
644	767	422
645	768	421
646	769	419
647	770	418
648	771	417
649	772	415
650	773	414
651	774	413
652	775	412
653	776	410
654	777	409
655	778	408
656	779	406
657	780	405
658	781	404
659	782	403
660	783	401
661	784	400
662	785	399
663	786	398
664	787	396
665	789	395
666	790	394
667	791	393
668	792	391
669	793	390
670	794	389
671	795	388
672	796	386
673	796	385
674	797	384
675	799	382
676	799	381
677	800	380
678	801	379
679	803	377
680	804	376
681	805	375
682	806	374
683	807	373
684	808	371
685	809	370
686	810	369
687	811	367
688	812	366
689	813	365
690	814	364
691	815	363
692	817	361
693	818	360
694	819	359
695	820	358
696	821	357
697	822	355
698	823	354
699	824	353
700	825	352
701	826	350
702	827	349
703	828	348
704	829	346
705	830	345
706	831	344
707	832	343
708	833	342
709	834	340
710	835	339
711	836	338
712	837	337
713	838	335
714	839	334
715	840	333
716	840	331
717	841	330
718	842	329
719	843	328
720	844	326
721	845	325
722	846	324
723	847	323
724	848	321
725	849	320
726	850	319
727	851	318
728	852	316
729	852	315
730	854	314
731	854	313
732	855	311
733	856	310
734	857	309
735	858	307
736	859	306
737	860	305
738	861	304
739	863	303
740	864	302
741	865	300
742	866	299
743	867	298
744	868	297
745	869	296
746	870	294
747	871	293
748	872	292
749	873	291
750	874	290
751	875	288
752	877	287
753	878	286
754	878	285
755	879	283
756	880	282
757	881	281
758	882	280
759	883	279
760	884	277
761	885	276
762	886	275
763	887	274
764	888	272
765	889	271
766	890	270
767	891	269
768	892	268
769	894	267
770	894	265
771	895	264
772	896	263
773	897	262
774	898	260
775	899	259
776	900	258
777	901	257
778	902	256
779	903	254
780	904	253
781	904	252
782	906	251
783	907	249
784	908	248
785	909	247
786	910	246
787	911	245
788	912	243
789	913	242
790	914	241
791	915	240
792	916	239
793	917	237
794	918	236
795	919	235
796	920	234
797	921	233
798	922	232
799	923	230
800	924	229
801	925	228
802	926	227
803	927	226
804	927	224
805	928	223
806	929	222
807	930	221
808	932	220
809	933	218
810	934	217
811	935	216
812	936	215
813	937	214
814	938	212
815	939	211
816	940	210
817	941	209
818	942	208
819	943	207
820	944	205
821	945	204
822	946	203
823	947	202
824	948	201
825	950	200
826	951	198
827	952	197
828	953	196
829	954	195
830	955	194
831	957	193
832	958	192
833	959	190
834	960	189
835	961	188
836	962	187
837	964	186
838	965	185
839	966	184
840	967	182
841	968	181
842	969	180
843	970	179
844	971	178
845	972	177
846	974	175
847	975	174
848	976	173
849	977	172
850	978	171
851	979	170
852	980	168
853	981	167
854	982	166
855	983	165
856	985	164
857	986	163
858	987	162
859	988	160
860	989	159
861	990	158
862	991	157
863	992	156
864	993	155
865	995	153
866	996	152
867	997	151
868	998	150
869	999	149
870	1000	148
871	1001	147
872	1002	145
873	1003	144
874	1005	143
875	1006	142
876	1007	141
877	1008	140
878	1009	139
879	1010	137
880	1011	136
881	1012	135
882	1013	134
883	1014	133
884	1015	132
885	1016	130
886	1017	129
887	1018	128
888	1019	127
889	1020	126
890	1021	125
891	1022	123
892	1023	122
893	1025	121
894	1026	120
895	1027	119
896	1028	118
897	1029	116
898	1031	115
899	1032	114
900	1033	113
901	1034	112
902	1035	111
903	1036	110
904	1037	108
905	1038	107
906	1040	106
907	1041	105
908	1043	104
909	1044	103
910	1045	102
911	1046	100
912	1047	99
913	1048	98
914	1049	97
915	1050	96
916	1051	95
917	1052	94
918	1053	92
919	1055	91
920	1056	90
921	1057	89
922	1058	88
923	1059	87
924	1060	86
925	1061	84
926	1063	83
927	1063	82
928	1065	81
929	1066	80
930	1067	79
931	1068	77
932	1069	76
933	1071	75
934	1073	74
935	1074	73
936	1075	72
937	1076	71
938	1078	70
939	1079	68
940	1080	67
941	1081	66
942	1082	65
943	1083	64
944	1084	63
945	1085	61
946	1086	60
947	1087	59
948	1088	58
949	1089	57
950	1091	56
951	1092	55
952	1093	53
953	1094	52
954	1095	51
955	1096	50
956	1097	49
957	1099	48
958	1100	47
959	1101	45
960	1102	44
961	1103	43
962	1104	42
963	1105	41
964	1106	40
965	1107	38
966	1108	37
967	1109	36
968	1110	35
969	1111	34
970	1112	33
971	1114	32
972	1115	30
973	1116	29
974	1117	28
975	1119	27
976	1120	26
977	1121	25
978	1122	24
979	1123	22
980	1124	21
981	1125	20
982	1126	19
983	1127	18
984	1128	17
985	1129	16
986	1130	14
987	1131	13
988	1132	12
989	1133	11
990	1134	10
991	1135	9
992	1136	8
993	1137	6
994	1138	5
995	1139	4
996	1140	3
997	1141	2
998	1142	1
999	1143	0
