iter	Passed	Remaining
0	2	204
1	3	163
2	4	147
3	5	135
4	6	128
5	7	121
6	8	117
7	10	117
8	11	114
9	12	112
10	13	109
11	14	106
12	15	105
13	16	103
14	18	103
15	19	101
16	20	99
17	21	97
18	22	95
19	23	93
20	24	91
21	25	90
22	26	88
23	27	86
24	28	85
25	29	83
26	30	82
27	31	82
28	33	80
29	34	79
30	35	78
31	36	77
32	37	76
33	39	76
34	40	74
35	41	73
36	42	71
37	43	70
38	44	69
39	45	68
40	47	67
41	47	65
42	48	64
43	49	62
44	50	61
45	51	60
46	53	59
47	54	58
48	55	58
49	57	57
50	58	56
51	60	55
52	62	55
53	63	54
54	64	52
55	65	51
56	67	50
57	69	50
58	70	49
59	71	47
60	73	46
61	75	46
62	76	45
63	78	43
64	79	42
65	81	41
66	82	40
67	84	39
68	85	38
69	87	37
70	88	36
71	90	35
72	92	34
73	93	32
74	94	31
75	95	30
76	97	28
77	98	27
78	98	26
79	99	24
80	100	23
81	101	22
82	102	21
83	104	19
84	105	18
85	106	17
86	107	16
87	108	14
88	110	13
89	111	12
90	112	11
91	113	9
92	114	8
93	115	7
94	116	6
95	117	4
96	119	3
97	120	2
98	122	1
99	123	0
